Date,% FTSE100 Change,Previous Day % FTSE100 Change
2020-02-06,0.3,0.57
2020-02-07,-0.51,0.3
2020-02-12,0.47,0.71
2020-02-13,-1.09,0.47
2020-02-14,-0.58,-1.09
2020-02-19,1.02,-0.69
2020-02-20,-0.27,1.02
2020-02-21,-0.44,-0.27
2020-02-26,0.35,-1.94
2020-02-27,-3.49,0.35
2020-02-28,-3.18,-3.49
2020-03-04,1.45,0.95
2020-03-05,-1.62,1.45
2020-03-06,-3.62,-1.62
2020-03-11,-1.4,-0.09
2020-03-12,-10.87,-1.4
2020-03-13,2.46,-10.87
2020-03-18,-4.05,2.79
2020-03-19,1.4,-4.05
2020-03-20,0.76,1.4
2020-03-25,4.45,9.05
2020-03-26,2.24,4.45
2020-03-27,-5.25,2.24
2020-04-01,-3.83,1.95
2020-04-02,0.47,-3.83
2020-04-03,-1.18,0.47
2020-04-08,-0.47,2.19
2020-04-09,2.9,-0.47
2020-04-16,0.55,-3.34
2020-04-17,2.82,0.55
2020-04-22,2.3,-2.96
2020-04-23,0.97,2.3
2020-04-24,-1.28,0.97
2020-04-29,2.63,1.91
2020-04-30,-3.5,2.63
2020-05-01,-2.34,-3.5
2020-05-06,0.07,1.66
2020-05-07,1.4,0.07
2020-05-13,-1.51,0.93
2020-05-14,-2.75,-1.51
2020-05-15,1.01,-2.75
2020-05-20,1.08,-0.77
2020-05-21,-0.86,1.08
2020-05-22,-0.37,-0.86
2020-05-28,1.21,1.26
2020-05-29,-2.29,1.21
2020-06-03,2.61,0.87
2020-06-04,-0.64,2.61
2020-06-05,2.25,-0.64
2020-06-10,-0.1,-2.11
2020-06-11,-3.99,-0.1
2020-06-12,0.47,-3.99
2020-06-17,0.17,2.94
2020-06-18,-0.47,0.17
2020-06-19,1.1,-0.47
2020-06-24,-3.11,1.21
2020-06-25,0.38,-3.11
2020-06-26,0.2,0.38
2020-07-01,-0.19,-0.9
2020-07-02,1.34,-0.19
2020-07-03,-1.33,1.34
2020-07-08,-0.55,-1.53
2020-07-09,-1.73,-0.55
2020-07-10,0.76,-1.73
2020-07-15,1.83,0.06
2020-07-16,-0.67,1.83
2020-07-17,0.63,-0.67
2020-07-22,-1.0,0.13
2020-07-23,0.07,-1.0
2020-07-24,-1.41,0.07
2020-07-29,0.04,0.4
2020-07-30,-2.31,0.04
2020-07-31,-1.54,-2.31
2020-08-05,1.14,0.05
2020-08-06,-1.27,1.14
2020-08-07,0.09,-1.27
2020-08-12,2.04,1.71
2020-08-13,-1.5,2.04
2020-08-14,-1.55,-1.5
2020-08-19,0.58,-0.83
2020-08-20,-1.61,0.58
2020-08-21,-0.19,-1.61
2020-08-26,0.14,-1.11
2020-08-27,-0.75,0.14
2020-08-28,-0.61,-0.75
2020-09-03,-1.52,1.35
2020-09-04,-0.88,-1.52
2020-09-09,1.39,-0.12
2020-09-10,-0.16,1.39
2020-09-11,0.48,-0.16
2020-09-16,-0.44,1.32
2020-09-17,-0.47,-0.44
2020-09-18,-0.71,-0.47
2020-09-23,1.2,0.43
2020-09-24,-1.3,1.2
2020-09-25,0.34,-1.3
2020-09-30,-0.53,-0.51
2020-10-01,0.23,-0.53
2020-10-02,0.39,0.23
2020-10-07,-0.06,0.12
2020-10-08,0.53,-0.06
2020-10-09,0.65,0.53
2020-10-14,-0.58,-0.53
2020-10-15,-1.73,-0.58
2020-10-16,1.49,-1.73
2020-10-21,-1.91,0.08
2020-10-22,0.16,-1.91
2020-10-23,1.29,0.16
2020-10-28,-2.55,-1.09
2020-10-29,-0.02,-2.55
2020-10-30,-0.08,-0.02
2020-11-04,1.67,2.33
2020-11-05,0.39,1.67
2020-11-06,0.07,0.39
2020-11-11,1.35,1.79
2020-11-12,-0.68,1.35
2020-11-13,-0.36,-0.68
2020-11-18,0.31,-0.87
2020-11-19,-0.8,0.31
2020-11-20,0.27,-0.8
2020-11-25,-0.64,1.55
2020-11-26,-0.44,-0.64
2020-11-27,0.07,-0.44
2020-12-02,1.23,1.89
2020-12-03,0.42,1.23
2020-12-04,0.92,0.42
2020-12-09,0.08,0.05
2020-12-10,0.54,0.08
2020-12-11,-0.8,0.54
2020-12-16,0.88,-0.28
2020-12-17,-0.3,0.88
2020-12-18,-0.33,-0.3
2020-12-23,0.66,0.57
2020-12-24,0.1,0.66
2020-12-31,-1.45,-0.71
2021-01-06,3.47,0.61
2021-01-07,0.22,3.47
2021-01-08,0.24,0.22
2021-01-13,-0.13,-0.65
2021-01-14,0.84,-0.13
2021-01-15,-0.97,0.84
2021-01-20,0.41,-0.11
2021-01-21,-0.37,0.41
2021-01-22,-0.3,-0.37
2021-01-27,-1.3,0.23
2021-01-28,-0.63,-1.3
2021-01-29,-1.82,-0.63
2021-02-03,-0.14,0.78
2021-02-04,-0.06,-0.14
2021-02-05,-0.22,-0.06
2021-02-10,-0.11,0.12
2021-02-11,0.07,-0.11
2021-02-12,0.94,0.07
2021-02-17,-0.56,-0.11
2021-02-18,-1.4,-0.56
2021-02-19,0.1,-1.4
2021-02-24,0.5,0.21
2021-02-25,-0.11,0.5
2021-02-26,-2.53,-0.11
2021-03-03,0.93,0.38
2021-03-04,-0.37,0.93
2021-03-05,-0.31,-0.37
2021-03-10,-0.07,0.17
2021-03-11,0.17,-0.07
2021-03-12,0.36,0.17
2021-03-17,-0.6,0.8
2021-03-18,0.25,-0.6
2021-03-19,-1.05,0.25
2021-03-24,0.2,-0.4
2021-03-25,-0.57,0.2
2021-03-26,0.99,-0.57
2021-03-31,-0.86,0.53
2021-04-01,0.35,-0.86
2021-04-08,0.83,0.91
2021-04-09,-0.38,0.83
2021-04-14,0.71,0.02
2021-04-15,0.63,0.71
2021-04-16,0.52,0.63
2021-04-21,0.52,-2.0
2021-04-22,0.62,0.52
2021-04-23,0.0,0.62
2021-04-28,0.27,-0.26
2021-04-29,-0.03,0.27
2021-04-30,0.12,-0.03
2021-05-06,0.52,1.68
2021-05-07,0.76,0.52
2021-05-12,0.82,-2.47
2021-05-13,-0.59,0.82
2021-05-14,1.15,-0.59
2021-05-19,-1.19,0.02
2021-05-20,1.0,-1.19
2021-05-21,-0.02,1.0
2021-05-26,-0.04,-0.31
2021-05-27,-0.1,-0.04
2021-05-28,0.04,-0.1
2021-06-03,-0.61,0.39
2021-06-04,0.07,-0.61
2021-06-09,-0.2,0.25
2021-06-10,0.1,-0.2
2021-06-11,0.65,0.1
2021-06-16,0.17,0.36
2021-06-17,-0.44,0.17
2021-06-18,-1.9,-0.44
2021-06-23,-0.22,0.39
2021-06-24,0.51,-0.22
2021-06-25,0.37,0.51
2021-06-30,-0.71,0.21
2021-07-01,1.25,-0.71
2021-07-02,-0.03,1.25
2021-07-07,0.71,-0.89
2021-07-08,-1.68,0.71
2021-07-09,1.3,-1.68
2021-07-14,-0.47,-0.01
2021-07-15,-1.12,-0.47
2021-07-16,-0.06,-1.12
2021-07-21,1.7,0.54
2021-07-22,-0.43,1.7
2021-07-23,0.85,-0.43
2021-07-28,0.29,-0.42
2021-07-29,0.88,0.29
2021-07-30,-0.65,0.88
2021-08-04,0.26,0.34
2021-08-05,-0.05,0.26
2021-08-06,0.04,-0.05
2021-08-11,0.83,0.4
2021-08-12,-0.37,0.83
2021-08-13,0.35,-0.37
2021-08-18,-0.16,0.38
2021-08-19,-1.54,-0.16
2021-08-20,0.41,-1.54
2021-08-25,0.34,0.24
2021-08-26,-0.35,0.34
2021-08-27,0.32,-0.35
2021-09-02,0.2,0.42
2021-09-03,-0.36,0.2
2021-09-08,-0.75,-0.53
2021-09-09,-1.01,-0.75
2021-09-10,0.07,-1.01
2021-09-15,-0.25,-0.49
2021-09-16,0.16,-0.25
2021-09-17,-0.91,0.16
2021-09-22,1.47,1.12
2021-09-23,-0.07,1.47
2021-09-24,-0.38,-0.07
2021-09-29,1.14,-0.5
2021-09-30,-0.31,1.14
2021-10-01,-0.84,-0.31
2021-10-06,-1.15,0.94
2021-10-07,1.17,-1.15
2021-10-08,0.25,1.17
2021-10-13,0.16,-0.23
2021-10-14,0.92,0.16
2021-10-15,0.37,0.92
2021-10-20,0.08,0.19
2021-10-21,-0.45,0.08
2021-10-22,0.2,-0.45
2021-10-27,-0.33,0.76
2021-10-28,-0.05,-0.33
2021-10-29,-0.16,-0.05
2021-11-03,-0.36,-0.19
2021-11-04,0.43,-0.36
2021-11-05,0.33,0.43
2021-11-10,0.91,-0.36
2021-11-11,0.6,0.91
2021-11-12,-0.49,0.6
2021-11-17,-0.49,-0.34
2021-11-18,-0.48,-0.49
2021-11-19,-0.45,-0.48
2021-11-24,0.27,0.15
2021-11-25,0.33,0.27
2021-11-26,-3.64,0.33
2021-12-01,1.55,-0.71
2021-12-02,-0.55,1.55
2021-12-03,-0.1,-0.55
2021-12-08,-0.04,1.49
2021-12-09,-0.22,-0.04
2021-12-10,-0.4,-0.22
2021-12-15,-0.66,-0.18
2021-12-16,1.25,-0.66
2021-12-17,0.13,1.25
2021-12-22,0.61,1.38
2021-12-23,0.43,0.61
2021-12-24,-0.02,0.43
2021-12-31,-0.25,-0.24
2022-01-06,-0.88,0.16
2022-01-07,0.47,-0.88
2022-01-12,0.81,0.62
2022-01-13,0.16,0.81
2022-01-14,-0.28,0.16
2022-01-19,0.35,-0.63
2022-01-20,-0.06,0.35
2022-01-21,-1.2,-0.06
2022-01-26,1.33,1.02
2022-01-27,1.13,1.33
2022-01-28,-1.17,1.13
2022-02-02,0.63,0.96
2022-02-03,-0.71,0.63
2022-02-04,-0.17,-0.71
2022-02-09,1.01,-0.08
2022-02-10,0.38,1.01
2022-02-11,-0.15,0.38
2022-02-16,-0.07,1.03
2022-02-17,-0.87,-0.07
2022-02-18,-0.32,-0.87
2022-02-23,0.05,0.13
2022-02-24,-3.88,0.05
2022-02-25,3.91,-3.88
2022-03-02,1.36,-1.72
2022-03-03,-2.57,1.36
2022-03-04,-3.48,-2.57
2022-03-09,3.25,0.07
2022-03-10,-1.27,3.25
2022-03-11,0.8,-1.27
2022-03-16,1.62,-0.25
2022-03-17,1.28,1.62
2022-03-18,0.26,1.28
2022-03-23,-0.22,0.46
2022-03-24,0.09,-0.22
2022-03-25,0.21,0.09
2022-03-30,0.55,0.86
2022-03-31,-0.83,0.55
2022-04-01,0.3,-0.83
2022-04-06,-0.34,0.72
2022-04-07,-0.47,-0.34
2022-04-08,1.56,-0.47
2022-04-13,0.05,-0.55
2022-04-14,0.47,0.05
2022-04-21,-0.02,0.37
2022-04-22,-1.39,-0.02
2022-04-27,0.53,0.08
2022-04-28,1.13,0.53
2022-04-29,0.47,1.13
2022-05-05,0.13,-0.9
2022-05-06,-1.54,0.13
2022-05-11,1.44,0.37
2022-05-12,-1.56,1.44
2022-05-13,2.55,-1.56
2022-05-18,-1.07,0.72
2022-05-19,-1.82,-1.07
